Municipality,Administering Agency,Amount Allocated,Funding Source,Max $ Assistance per household (total),"Household Assistance Details (# of months, max per month, etc)",Area Median Income Elgibility,Program Timeline,Contact info,Link to application,Notes,Unnamed: 11,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Salem,North Shore Community Action Program Inc. (NSCAP),Not specified,"HOME, City funds, CPA, and CDBG-CV","$1,000","$500/month for up to 2 months. Rent reducation request part of program, see notes*",Up to 50% AMI,Until funds are depleted over next 2 years,"Amanda Chiancola, Senior Planner, achiancola@salem.com",https://app.smartsheet.com/b/form/492061e9133a4026bbe39d40ea299ce7,"A key requirement of the program is that the applicant has to have requested a reduction in rent from their landlord. They do not have to receive the reduction but they need to ask for it. Some of Salem's community banks, are offering homeowners the option to defer at least three months of mortgage payments during this crisis, if their lender is participating and they can demonstrate a financial impact from COVID-19. ",Deferred payment amounts are added to the conclusion of the mortgage and spread out over the same timeframe. No late fees will be charged and deferrals are not reported to credited agencies.,,,7.0,3.0,2.0,1.0,7.0,3.0,29.0,12.0,7.0,3.0,,,14.0,6.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,,,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0
Somerville,Somerville Homeless Coalition,Not specified,Affordable Housing Trust,"$3,000",Not specified,Not specified,Not specified,"Brielle Short, bshort@shcinc.org",https://somervillehomelesscoalition.org/rapid-response/,Arrears only,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Somerville Homeless Coalition,"$95,000",City funds,"$4,000",Not specified,Not specified,Not specified,"Brielle Short, bshort@shcinc.org",Flex Fund,Very Flexible,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Somerville Homeless Coalition,"$150,000",ESG-CV,Not specified,Not specified,Not specified,Ocotber 2020,"Brielle Short, bshort@shcinc.org",,"Arrears, prospective rent or move in",,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Somerville Homeless Coalition,"$390,000",CDBG-CV,Not specified,Up to 6 months of prospectie rent,Not specified,October 2020,"Brielle Short, bshort@shcinc.org",,Arrears included,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Community Action Agency of Somerville (CAAS),"$375,000",ESG-CV,Not specified,Not specified,Not specified,October 2020,"Ashley Tienken, atienken@caasomerville.org",,,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Community Action Agency of Somerville (CAAS),"$305,000",CDBG,Not specified,Up to 6 months of prospectie rent,Not specified,Not specified,"Ashley Tienken, atienken@caasomerville.org",,,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Community Action Agency of Somerville (CAAS),Not specified,Trust and CPA,"$3,000",Not specified,Not specified,Not specified,"Ashley Tienken, atienken@caasomerville.org",https://www.caasomerville.org/somerville-cares-fund,Arrears only,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Community Action Agency of Somerville (CAAS),Not specified,Trust,"$3,000",Not specified ,Not specified,Not specified,"Ashley Tienken, atienken@caasomerville.org",,Arrears only,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Somerville,Just-A-Start,"$42,500",Trust and CDBG,Not specified,6 months,Not specified,Not specified,"Elizabeth Winston, 617-494-0444",,,,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
Stoughton,Stoughton Housing Authority,"$510,000",CPA,"$9,000","$1,500/month, up to 6 months and 70% of rent",Households up to 100% AMI,September 2020,"Colleen Doherty, SHA Exec.Director",https://www.stoughton.org/community-preservation-act-committee/files/covid-local-emergency-housing-assistance-program-info ,Program includes arrearage back to 4/1/20. Application period has been extended by 60 days to Sept.,,,,,,,,,,,,7.0,2.0,25.0,7.0,14.0,4.0,25.0,7.0,,,,,,,3.0,1.0,,,3.0,1.0,,,7.0,2.0,,,14.0,4.0
Stow,MCO Housing,"$300,000",CPA/Trust,"$3,885","$1,295/month for up to 3 months of assistance",Households up to 80% AMI,June 2020,"Mike Kopczynski, Stow AHT, mgkstow@gmail.com",https://mcohousingservices.com/pdfs/rental-relief-infopack-stow.pdf,,,,,,,,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Sudbury,Regional Housing Services Office (RHSO),"$20,000",Trust,"$2,400",$300-$800/month depending on unit size for up to 4 months,Households up to 100% AMI,Not specified,"Elizabeth Rust, RHSO, liz@rhsohousing.org",https://www.rhsohousing.org/sudbury/news/sudbury-emergency-rental-assistance,,,,,,,,,,,,,,,,,,,28.0,5.0,,,,,,,5.0,1.0,,,,,28.0,5.0,5.0,1.0,,,,
Springfield,Way Finders,"$1,404,414 of HOME, $389,005 of CDBG","HOME, CDBG",Not specified,Not specified,Households up to 80% AMI,Not specified,"Janette Vigo, Chief Program Officer, Way Finders, jvigo@wayfinders.org ",https://www.wayfinders.org/housing-center/support-for-renters,,,1.0,2.0,0.0,1.0,3.0,6.0,13.0,20.0,18.0,28.0,1.0,2.0,11.0,18.0,21.0,33.0,24.0,37.0,16.0,26.0,1.0,2.0,,,,,1.0,2.0,,,1.0,2.0,2.0,4.0,,,0.0,1.0
Waltham,City of Waltham,"City previously allocated $2,700,000 of city funds, $1 million allocated by CPA",CPA/city funds,"$5,400",Up to 3 months of assistance based on bedroom size,Various AMI,Not specified,"Deb Flanagan. Asst. Housing Supervisor, dflanagan@city.waltham.ma.us",https://www.city.waltham.ma.us/sites/g/files/vyhlif1386/f/uploads/applicant_guidelines_english_final.pdf,,,,,,,,,6.0,4.0,6.0,4.0,,,,,,,,,1.0,1.0,,,,,,,4.0,3.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0
Watertown,MetroWest Collaborative Development,"$150,000 donations, $175,000 CDBG","Donations - MA COVID Relief Fund, CDBG","$1,000 for donations, CDBG differs by # of bedrooms",3 months,Households up to 80% AMI,Deadline is 9/24 and then rolling until all funds are disbursed.,"Robyn Rufo, Robyn@metrowestcd.org ","https://metrowestcd.org/wp-content/uploads/2020/07/Watertown-WCF-Rent-Assistance-Flyer.pdf, https://www.watertown-ma.gov/DocumentCenter/View/30015/Watertown-Emergency-Rental-Assistance-Flyer-final",,,,,,,,,,,,,3.0,1.0,3.0,1.0,,,,,12.0,4.0,,,,,,,6.0,2.0,,,3.0,1.0,,,,,,
Wellfleet,Homelessness Prevention Center,"$205,000",CPA,"$6,000","$6,000 over a year",Households up to 100% AMI,Through 2021,"Maggi Flanagan, Program Director, Maggi@HPCCapeCod.org",https://www.hpccapecod.org/covid-19-resource-center,,,,,,,,,,,,,,,,,,,,,36.0,1.0,,,,,,,36.0,1.0,,,,,,,,,,
Westford,Not specified,"$36,000",CPA/Trust,Not specified,Not specified,Households up to 50% AMI,3 years,"Rob Downing, Municipal Trust Chair, rob@robdowning.com",Not specified,Trust started planning before COVID-19,,,,,,,,,,13.0,3.0,,,,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,4.0,1.0,,,,
Weymouth,NeighborWorks Housing Solutions,"239,773",CDBG-CV ,"$4,000",Up to 3 months,Households up to 80% AMI,12 months from start of contract or until funds expire,"Christine Howe, Grants and Procurement, chowe@weymouth.ma.us",Under Development,,,,,,,,,,,24.0,13.0,7.0,4.0,9.0,5.0,,,,,5.0,3.0,,,,,,,7.0,4.0,,,5.0,3.0,,,,,1.0,1.0
Williamstown,Berkshie Housing Development Corp.,"$20,700 Trust, $75,000 CPA",Trust/CPA,"$500 - or $1,000 in extreme situations",Not specified,Households up to 100% AMI,Not specified,"Tom Sheldon, tom.e.sheldon@gmail.com",https://williamstownma.gov/2020/05/14/rental-assistance-program/,,,,,,,,,,,12.0,1.0,,,,,12.0,1.0,,,12.0,1.0,,,,,,,,,,,,,,,,,,
Yarmouth,Housing Assistance Cape Cod (HAC) and Hands Of Hope,"$108,000","Trust, CPA","$5,000",Not specified,Households up to 100% AMI,Various programs expiring between May and June 2021,"Mary Waygan, Affordable Housing/CDBG Program Administrator, mwaygan@yarmouth.ma.us","HAC Funds; https://haconcapecod.org/blog/workforce-housing-relief-fund-and-more-new-support/ Hands of Hope Funds: 508-432-1312, churcheshoh@comcast.net, Please call or email to initiate application process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Berkshire Consortium, see notes*",Construct Berkshire,"$220,000",Foundation funding,"$1,000",Not specified,Households up to 80% AMI,Rolling,"June Wolfe, Housing Director, jwolfe@constructberkshire.org",https://constructinc.org/programs/,"Communities included: Sheffield, Mt Washington, New Marlborough, Sandisfield, Monterey, Tyringham, Lee, Stockbridge, West Stockbridge, Alford, Richmond, Becket, Otis, Egremont","Additional program being developed to create a micro-loan progarm for households 80-120% of AMI. Loan would be for $1,000-$2,5000 at a 2% interets rate, 3 month deferred payment and options for extensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cape & the Islands, see notes*",Housing Assistance Cape Cod (HAC) ,"$914,000","Donations, various town allocations","$5,000","Not specified, several months.",Households up to 100% AMI,No end date.,"Cassi Danzl, HAC, cdanzl@haconcapecod.org",https://haconcapecod.org/blog/workforce-housing-relief-fund-and-more-new-support/,"Housing Assistance has established the Workforce Housing Relief Fund to provide urgent and ongoing assistance with past due rent or mortgage payments or other housing-related expenses for current, year-round Cape Cod and Island residents who are losing income due to the coronavirus.",* Please note that the Cape communities using HAC are in in separate rows to show what each community contributed. Therefore the funds noted in those rows are all included in Cape and Islands row's total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
